scenario,county,CODE_NAME,area,area_unit
scenario2_perennialexpand,Sacramento,RIPARIAN_SCRUB_MIXED,29.610001176595688,ha
scenario2_perennialexpand,Sacramento,WETLAND_MANAGED_PERENNIAL,796.6800316572189,ha
scenario2_perennialexpand,Sacramento,WETLAND_MANAGED_SEASONAL,717.4800285100937,ha
scenario2_perennialexpand,Sacramento,WETLAND_TIDAL,1036.8900412023067,ha
scenario2_perennialexpand,Sacramento,WETLAND_OTHER,1395.3600554466248,ha
scenario2_perennialexpand,Sacramento,WATER,5684.850225895643,ha
scenario2_perennialexpand,Sacramento,WOODLAND,168.9300067126751,ha
scenario2_perennialexpand,Sacramento,SCRUB,4.050000160932541,ha
scenario2_perennialexpand,Sacramento,BARREN,3.960000157356262,ha
scenario2_perennialexpand,San Joaquin,ORCHARD_DECIDUOUS,18195.030723005533,ha
scenario2_perennialexpand,San Joaquin,ORCHARD_CITRUS&SUBTROPICAL,608.3100241720676,ha
scenario2_perennialexpand,San Joaquin,VINEYARD,8187.930325359106,ha
scenario2_perennialexpand,San Joaquin,GRAIN&HAY_WHEAT,5284.710209995508,ha
scenario2_perennialexpand,San Joaquin,GRAIN&HAY_OTHER,2329.2900925576687,ha
scenario2_perennialexpand,San Joaquin,FIELD_CORN,19102.590759068727,ha
scenario2_perennialexpand,San Joaquin,FIELD_OTHER,2276.370090454817,ha
scenario2_perennialexpand,San Joaquin,ROW,9870.120392203331,ha
scenario2_perennialexpand,San Joaquin,RICE,1211.4000481367111,ha
scenario2_perennialexpand,San Joaquin,IDLE,11898.450472801924,ha
scenario2_perennialexpand,San Joaquin,PASTURE_ALFALFA,10203.750405460596,ha
scenario2_perennialexpand,San Joaquin,PASTURE_OTHER,3414.780135691166,ha
scenario2_perennialexpand,San Joaquin,GRASSLAND,5003.370198816061,ha
scenario2_perennialexpand,San Joaquin,URBAN,16702.110663682222,ha
scenario2_perennialexpand,San Joaquin,RIPARIAN_FOREST_POFR,612.3600243330002,ha
scenario2_perennialexpand,San Joaquin,RIPARIAN_FOREST_QULO,521.550020724535,ha
scenario2_perennialexpand,San Joaquin,RIPARIAN_FOREST_SALIX,354.600014090538,ha
