n,scenario,spp,value
25,scenario3_alt,crane,4704
25,scenario3_alt,geese,11418
25,scenario3_alt,TOTAL,351679
26,baseline,dblr,92078
26,baseline,shore,155033
26,baseline,cicon,206059
26,baseline,crane,16030
26,baseline,geese,5334
26,baseline,TOTAL,252730
26,scenario1,dblr,134580
26,scenario1,shore,189329
26,scenario1,cicon,239906
26,scenario1,crane,16601
26,scenario1,geese,5237
26,scenario1,TOTAL,285430
26,scenario2_alt,dblr,89048
26,scenario2_alt,shore,148523
26,scenario2_alt,cicon,199415
26,scenario2_alt,crane,18924
26,scenario2_alt,geese,8025
26,scenario2_alt,TOTAL,241356
26,scenario3_alt,dblr,131076
26,scenario3_alt,shore,183428
26,scenario3_alt,cicon,233791
26,scenario3_alt,crane,20318
26,scenario3_alt,geese,10451
26,scenario3_alt,TOTAL,274767
27,baseline,dblr,80550
27,baseline,shore,162306
27,baseline,cicon,152180
27,baseline,crane,48773
27,baseline,geese,33463
27,baseline,TOTAL,244619
27,scenario1,dblr,118997
27,scenario1,shore,196478
27,scenario1,cicon,177768
27,scenario1,crane,50084
27,scenario1,geese,35876
27,scenario1,TOTAL,277068
27,scenario2_alt,dblr,75385
27,scenario2_alt,shore,155868
27,scenario2_alt,cicon,146408
27,scenario2_alt,crane,44313
27,scenario2_alt,geese,53260
27,scenario2_alt,TOTAL,235485
27,scenario3_alt,dblr,115508
27,scenario3_alt,shore,190760
27,scenario3_alt,cicon,173989
27,scenario3_alt,crane,45137
27,scenario3_alt,geese,58609
27,scenario3_alt,TOTAL,271007
28,baseline,dblr,97715
28,baseline,shore,191754
28,baseline,cicon,218197
28,baseline,crane,24849
28,baseline,geese,17789
28,baseline,TOTAL,292859
28,scenario1,dblr,159881
28,scenario1,shore,226913
28,scenario1,cicon,273094
28,scenario1,crane,24934
28,scenario1,geese,17765
28,scenario1,TOTAL,354441
28,scenario2_alt,dblr,87469
28,scenario2_alt,shore,182580
28,scenario2_alt,cicon,206149
28,scenario2_alt,crane,25189
28,scenario2_alt,geese,23478
28,scenario2_alt,TOTAL,275402
28,scenario3_alt,dblr,149379
28,scenario3_alt,shore,218844
28,scenario3_alt,cicon,264258
28,scenario3_alt,crane,25091
28,scenario3_alt,geese,27923
28,scenario3_alt,TOTAL,338058
29,baseline,dblr,140921
29,baseline,shore,139999
29,baseline,cicon,172028
29,baseline,crane,47439
29,baseline,geese,20958
29,baseline,TOTAL,260868
29,scenario1,dblr,190167
29,scenario1,shore,176411
29,scenario1,cicon,217751
29,scenario1,crane,49704
29,scenario1,geese,23983
29,scenario1,TOTAL,314910
29,scenario2_alt,dblr,116561
29,scenario2_alt,shore,135049
29,scenario2_alt,cicon,166239
29,scenario2_alt,crane,43306
29,scenario2_alt,geese,34902
29,scenario2_alt,TOTAL,240061
