n,scenario,spp,value
11,scenario2_alt,LAZB,8106
11,scenario2_alt,NUWO,14610
11,scenario2_alt,SOSP,1407904
11,scenario2_alt,SPTO,374030
11,scenario2_alt,YBCH,3221
11,scenario2_alt,YEWA,247904
11,scenario2_alt,TOTAL,1920642
11,scenario3_alt,ATFL,74202
11,scenario3_alt,BHGR,101423
11,scenario3_alt,COYE,443096
11,scenario3_alt,LAZB,11900
11,scenario3_alt,NUWO,55518
11,scenario3_alt,SOSP,1439007
11,scenario3_alt,SPTO,529458
11,scenario3_alt,YBCH,3438
11,scenario3_alt,YEWA,235442
11,scenario3_alt,TOTAL,2068750
12,baseline,ATFL,50378
12,baseline,BHGR,114997
12,baseline,COYE,322221
12,baseline,LAZB,4707
12,baseline,NUWO,24188
12,baseline,SOSP,1289014
12,baseline,SPTO,191861
12,baseline,YBCH,94331
12,baseline,YEWA,327667
12,baseline,TOTAL,1766334
12,scenario1,ATFL,88866
12,scenario1,BHGR,149648
12,scenario1,COYE,374005
12,scenario1,LAZB,4276
12,scenario1,NUWO,67122
12,scenario1,SOSP,1297686
12,scenario1,SPTO,267331
12,scenario1,YBCH,99321
12,scenario1,YEWA,344584
12,scenario1,TOTAL,1860034
12,scenario2_alt,ATFL,43204
12,scenario2_alt,BHGR,103389
12,scenario2_alt,COYE,295249
12,scenario2_alt,LAZB,3481
12,scenario2_alt,NUWO,18725
12,scenario2_alt,SOSP,1241103
12,scenario2_alt,SPTO,227824
12,scenario2_alt,YBCH,87413
12,scenario2_alt,YEWA,347430
12,scenario2_alt,TOTAL,1742140
12,scenario3_alt,ATFL,86523
12,scenario3_alt,BHGR,152371
12,scenario3_alt,COYE,347813
12,scenario3_alt,LAZB,2960
12,scenario3_alt,NUWO,60517
12,scenario3_alt,SOSP,1252707
12,scenario3_alt,SPTO,333994
12,scenario3_alt,YBCH,93986
12,scenario3_alt,YEWA,366111
12,scenario3_alt,TOTAL,1852649
13,baseline,ATFL,69285
13,baseline,BHGR,38149
13,baseline,COYE,448836
13,baseline,LAZB,484670
