scenario,spp,METRIC_SUBTYPE,METRIC,n,value
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,7,1056840
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,7,322664
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,7,228183
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,7,78011
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,7,1620854
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,7,31063
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,7,81788
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,7,379332
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,7,61554
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,7,17158
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,7,1009425
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,7,332522
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,7,237139
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,7,96588
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,7,1604037
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,7,65679
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,7,154866
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,7,416326
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,7,66756
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,7,50878
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,7,1107056
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,7,396005
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,7,238120
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,7,105727
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,7,1730648
