n,scenario,spp,value
26,baseline,crane,119083
26,baseline,geese,174316
26,baseline,divduck,166015
26,baseline,TOTAL,644716
26,scenario1,dblr,233459
26,scenario1,shore,321830
26,scenario1,cicon,390698
26,scenario1,crane,113676
26,scenario1,geese,179285
26,scenario1,divduck,205005
26,scenario1,TOTAL,678042
26,scenario2_alt,dblr,206959
26,scenario2_alt,shore,271075
26,scenario2_alt,cicon,377837
26,scenario2_alt,crane,122307
26,scenario2_alt,geese,182870
26,scenario2_alt,divduck,160311
26,scenario2_alt,TOTAL,627567
26,scenario3_alt,dblr,231860
26,scenario3_alt,shore,312545
26,scenario3_alt,cicon,402265
26,scenario3_alt,crane,117751
26,scenario3_alt,geese,188666
26,scenario3_alt,divduck,199461
26,scenario3_alt,TOTAL,657291
27,baseline,dblr,236894
27,baseline,shore,191083
27,baseline,cicon,61862
27,baseline,crane,39790
27,baseline,geese,210999
27,baseline,divduck,55751
27,baseline,TOTAL,375199
27,scenario1,dblr,273610
27,scenario1,shore,213952
27,scenario1,cicon,94229
27,scenario1,crane,38434
27,scenario1,geese,215610
27,scenario1,divduck,83779
27,scenario1,TOTAL,414623
27,scenario2_alt,dblr,237609
27,scenario2_alt,shore,192080
27,scenario2_alt,cicon,78873
27,scenario2_alt,crane,40575
27,scenario2_alt,geese,219067
27,scenario2_alt,divduck,58046
27,scenario2_alt,TOTAL,382037
27,scenario3_alt,dblr,274093
27,scenario3_alt,shore,212606
27,scenario3_alt,cicon,113514
27,scenario3_alt,crane,38886
27,scenario3_alt,geese,222262
27,scenario3_alt,divduck,85660
27,scenario3_alt,TOTAL,417100
28,baseline,dblr,262144
28,baseline,shore,151012
28,baseline,cicon,337932
28,baseline,crane,167415
28,baseline,geese,252016
28,baseline,divduck,85220
28,baseline,TOTAL,536025
28,scenario1,dblr,298388
28,scenario1,shore,176648
28,scenario1,cicon,381230
28,scenario1,crane,155804
28,scenario1,geese,255803
28,scenario1,divduck,111975
28,scenario1,TOTAL,572612
28,scenario2_alt,dblr,253024
28,scenario2_alt,shore,143541
28,scenario2_alt,cicon,337754
28,scenario2_alt,crane,145012
28,scenario2_alt,geese,280918
28,scenario2_alt,divduck,81803
28,scenario2_alt,TOTAL,519963
28,scenario3_alt,dblr,289342
28,scenario3_alt,shore,169393
28,scenario3_alt,cicon,384348
28,scenario3_alt,crane,133393
28,scenario3_alt,geese,281990
28,scenario3_alt,divduck,107328
28,scenario3_alt,TOTAL,557103
29,baseline,dblr,286749
29,baseline,shore,139583
29,baseline,cicon,94018
29,baseline,crane,50905
29,baseline,geese,330123
