scenario,county,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,3843775.312436041
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,853316.4975556235
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,1199310.052760049
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1257277.8374692632
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1544257.9991718961
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,3658045.5867036353
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1028092.2616717716
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,914049.8976732295
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1384077.2353069237
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1355606.743046207
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,2272831.1623896784
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1378882.7433684221
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1010471.775535101
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,613542.9417445015
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,464616.16960581805
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,1537195.6318704619
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,439938.59866253205
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,410956.82335678075
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,453891.61218190566
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,556326.0859228671
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,1622903.8844215064
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,331709.3305009107
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,489590.363560141
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,4349318.866637764
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,4229679.524655268
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,12092690.457067888
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,2339010.1608157987
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,1705849.4990737075
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,2425534.3483495736
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,3524630.2143202373
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,8721145.893259853
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,1592533.9556663195
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,2840921.9089957057
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,164339.7374009196
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,180095.4355587769
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,555223.8207581349
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,134958.5440796593
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,100092.88296307334
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,383727.84753623937
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,368140.34222629335
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,909258.1447862296
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,370387.71845253394
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,319106.4024027437
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,427009.5493853092
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,785495.4619215594
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1308541.2824749947
baseline,Solano,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1044418.4124310812
baseline,Yolo,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,928576.2230965827
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,42376.47888580751
