scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario1_restoration,San Joaquin,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,2.9699999999999998,2.9699999999999998,0,0,0
scenario1_restoration,San Joaquin,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,366.65999999999997,336.78,29.879999999999995,0.08872260823089256,8.872260823089256
scenario1_restoration,San Joaquin,WETLAND_OTHER,Other Wetland,2889.99,2920.14,-30.15000000000009,-0.010324847438821458,-1.0324847438821458
scenario1_restoration,San Joaquin,WETLAND_TIDAL,Tidal Wetland,449.28,449.28,0,0,0
scenario1_restoration,San Joaquin,WOODLAND,Woodland,301.59,317.52,-15.930000000000007,-0.050170068027210905,-5.017006802721091
scenario1_restoration,Solano,BARREN,Barren,7.83,7.83,0,0,0
scenario1_restoration,Solano,FIELD_CORN,Corn,2405.97,2421.36,-15.390000000000327,-0.006355932203389965,-0.6355932203389966
scenario1_restoration,Solano,FIELD_OTHER,Other Field Crops,1800.54,1804.77,-4.230000000000018,-0.0023437889592579763,-0.23437889592579764
scenario1_restoration,Solano,GRAIN&HAY_OTHER,Other Grains,1629.8999999999999,1633.95,-4.050000000000182,-0.0024786560176261094,-0.24786560176261094
scenario1_restoration,Solano,GRAIN&HAY_WHEAT,Wheat,1293.84,1296.99,-3.150000000000091,-0.0024287002983832497,-0.24287002983832498
scenario1_restoration,Solano,GRASSLAND,Grassland,5069.25,5168.429999999999,-99.17999999999938,-0.01918957981437291,-1.918957981437291
scenario1_restoration,Solano,IDLE,Idle,2230.92,2252.97,-22.049999999999727,-0.009787081053009907,-0.9787081053009907
scenario1_restoration,Solano,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,18.99,18.99,0,0,0
scenario1_restoration,Solano,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1073.43,1073.43,0,0,0
scenario1_restoration,Solano,PASTURE_ALFALFA,Alfalfa,3197.6099999999997,3235.14,-37.5300000000002,-0.011600734434985875,-1.1600734434985875
scenario1_restoration,Solano,PASTURE_OTHER,Other Pasture,7821.179999999999,7880.04,-58.86000000000058,-0.007469505230937988,-0.7469505230937988
scenario1_restoration,Solano,RICE,Rice,0,0,0,NA,NA
scenario1_restoration,Solano,RIPARIAN,Riparian,825.3,693.18,132.12,0.19059984419631268,19.059984419631267
scenario1_restoration,Solano,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,159.29999999999998,103.86,55.43999999999998,0.5337954939341419,53.379549393414194
scenario1_restoration,Solano,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,107.00999999999999,99.81,7.199999999999989,0.07213706041478798,7.213706041478798
scenario1_restoration,Solano,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,74.07,53.73,20.339999999999996,0.3785594639865996,37.85594639865996
scenario1_restoration,Solano,RIPARIAN_FOREST_SALIX,Riparian - Willow,91.61999999999999,84.24,7.3799999999999955,0.08760683760683756,8.760683760683756
scenario1_restoration,Solano,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,135.72,135.72,0,0,0
scenario1_restoration,Solano,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,1.53,1.53,0,0,0
scenario1_restoration,Solano,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,256.05,214.29,41.76000000000002,0.19487610247795054,19.487610247795054
scenario1_restoration,Solano,ROW,Row Crops,578.25,587.52,-9.269999999999982,-0.015778186274509772,-1.5778186274509771
scenario1_restoration,Solano,SCRUB,Scrub,33.39,33.57,-0.17999999999999972,-0.005361930294906158,-0.5361930294906158
scenario1_restoration,Solano,URBAN,Urban,622.17,622.17,0,0,0
scenario1_restoration,Solano,VINEYARD,Vineyard,706.5899999999999,706.5899999999999,0,0,0
scenario1_restoration,Solano,WATER,Water,4576.95,4576.95,0,0,0
scenario1_restoration,Solano,WETLAND_MANAGED,Managed Wetland,972.18,824.22,147.95999999999992,0.17951517798645983,17.951517798645984
scenario1_restoration,Solano,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,33.48,33.48,0,0,0
scenario1_restoration,Solano,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,938.6999999999999,790.74,147.95999999999992,0.1871158661506942,18.71158661506942
scenario1_restoration,Solano,WETLAND_OTHER,Other Wetland,1670.76,1694.1599999999999,-23.399999999999864,-0.013812154696132518,-1.3812154696132517
scenario1_restoration,Solano,WETLAND_TIDAL,Tidal Wetland,687.51,687.51,0,0,0
scenario1_restoration,Solano,WOODLAND,Woodland,40.32,43.11,-2.789999999999999,-0.06471816283924842,-6.471816283924841
scenario1_restoration,Yolo,BARREN,Barren,0,0,0,NA,NA
scenario1_restoration,Yolo,FIELD_CORN,Corn,414,470.60999999999996,-56.60999999999996,-0.12029068655574672,-12.029068655574672
scenario1_restoration,Yolo,FIELD_OTHER,Other Field Crops,1278.8999999999999,1586.79,-307.8900000000001,-0.19403323691225688,-19.403323691225687
scenario1_restoration,Yolo,GRAIN&HAY_OTHER,Other Grains,1601.28,1746.09,-144.80999999999995,-0.08293386938817585,-8.293386938817585
scenario1_restoration,Yolo,GRAIN&HAY_WHEAT,Wheat,1579.23,1759.23,-180,-0.10231749117511639,-10.231749117511638
scenario1_restoration,Yolo,GRASSLAND,Grassland,3127.77,3555.9,-428.1300000000001,-0.12039989875980767,-12.039989875980767
scenario1_restoration,Yolo,IDLE,Idle,2658.7799999999997,3066.2999999999997,-407.52,-0.1329028470795421,-13.29028470795421
scenario1_restoration,Yolo,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,33.21,33.21,0,0,0
scenario1_restoration,Yolo,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,378.63,378.71999999999997,-0.08999999999997499,-2.3764258555126477e-4,-0.023764258555126476
