scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
baseline,Solano,Biodiversity Support,Waterbird habitat,Geese (fall),ha,8966.666666666668
baseline,Yolo,Biodiversity Support,Waterbird habitat,Geese (fall),ha,158255.55555555556
baseline,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,155744.44444444444
baseline,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,313488.8888888889
baseline,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,399055.55555555556
baseline,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,376566.6666666667
baseline,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,714577.7777777778
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,75200
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,625711.1111111111
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,345933.3333333334
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,560966.6666666667
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,1215000
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,1711.111111111111
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,232966.6666666667
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,390522.22222222225
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,0
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,0
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,27400
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,393777.7777777778
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,113300
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,197044.44444444444
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,799088.8888888889
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (fall),ha,0
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Geese (fall),ha,63233.333333333336
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (fall),ha,192444.44444444444
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Geese (fall),ha,9033.333333333334
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Geese (fall),ha,217733.33333333334
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,166200
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,457444.44444444444
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,401211.1111111111
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,419666.6666666667
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,925366.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,6700
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,509311.1111111111
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,322500
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,370766.6666666667
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,1024266.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,1511.111111111111
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,214422.22222222222
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,448111.1111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,0
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,266.6666666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,6888.88888888889
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,210244.44444444444
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,97311.11111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,162266.6666666667
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,535722.2222222222
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (fall),ha,0
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Geese (fall),ha,72544.44444444445
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (fall),ha,269711.1111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Geese (fall),ha,13533.333333333334
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Geese (fall),ha,247166.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,158366.6666666667
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,309877.7777777778
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,355788.8888888889
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,373155.55555555556
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,690755.5555555556
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,309711.1111111111
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,531800
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,2517600
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,601811.1111111111
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,741566.6666666667
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,106511.11111111111
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,333922.22222222225
