METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,BARREN,0,NA,NA,NA,ranking
