METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SUBCLASS,SCORE,SCORE_MIN,SCORE_MAX,UNIT
biodiversity,pesticide application rate,aquatic contaminant,ROW,STRAWBERRIES,4.549335900441056,0.03704199341800571,13.124590773726103,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,TOMATOES (PROCESSING),7.912380615660097,5.926632477815127,9.87025248469621,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,BUSH BERRIES,0.006516193677635221,0.006516193677635221,0.006516193677635221,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,CARROTS,22.661865876772243,1.9575585669815787,45.19162056836981,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,COLE CROPS (MIXTURE OF 22-25),2.0221238745410233,2.0221238745410233,2.0221238745410233,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",1.4199559919828761,1.1264776794609141,1.8705898425804846,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,MISCELLANEOUS TRUCK,4.978387797482548,2.0330969760678697,8.939454025523832,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,ONIONS & GARLIC,3.095154982375042,2.3647662155650897,3.7716688113309647,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,"PEPPERS (CHILI, BELL, ETC)",4.149555601335272,0.0036477801459235196,7.618037851926788,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,POTATO OR SWEET POTATO,42.53285238816291,20.82722724790661,58.525878210719625,pounds per ha
healthy environment,pesticide application rate,carcinogen,ROW,TOMATOES (PROCESSING),11.069875074361175,4.834279831073925,27.833911817585513,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ROW,CARROTS,2.4019538251749233,2.3959729228945865,2.40793472745526,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ROW,COLE CROPS (MIXTURE OF 22-25),0.801791502002985,0.028387579042685192,1.8934127044776337,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",0.20756510905662248,0.09451322409616289,0.3222249902074563,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ROW,MISCELLANEOUS TRUCK,1.6301199804068602,0.29174613272924926,2.8199148799779343,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ROW,ONIONS & GARLIC,0.19797224453753037,0.0016887180365978158,0.5332427043413644,pounds per ha
